lat,lon,dbh_in,condition,height_m,match_distance_m
40.771619,-73.954956,15,Good,14.8,4.22
40.790735,-73.950477,5,Poor,5.8,1.10
40.774481,-73.979677,11,Good,12.3,0.96
40.788052,-73.952286,8,Fair,9.1,0.96
40.790683,-73.950353,6,Good,18.7,4.01
40.792573,-73.950136,4,Dead,6.6,1.45
40.790536,-73.977621,19,Fair,12.8,2.22
40.777971,-73.977888,12,Fair,12.1,1.19
40.792165,-73.950674,16,Good,11.9,3.06
40.780775,-73.978898,17,Fair,16.2,3.67
40.791821,-73.975836,24,Good,18.3,1.35
40.779483,-73.951399,16,Dead,13.4,1.72
40.767663,-73.957662,17,Fair,16.9,1.92
40.789417,-73.949610,14,Fair,11.7,2.63
40.781988,-73.978991,20,Fair,16.8,1.85
40.790577,-73.977981,5,Good,8.0,0.61
40.788819,-73.951702,6,Fair,5.5,1.12
40.792877,-73.975068,17,Good,16.2,0.81
40.776427,-73.964035,18,Good,16.0,1.38
40.788932,-73.951039,4,Dead,8.9,0.77
40.774433,-73.949771,10,Poor,8.7,2.47
40.779105,-73.960206,0,Dead,10.5,1.10
40.778815,-73.980153,16,Fair,14.3,0.18
40.785437,-73.951894,12,Dead,16.7,1.12
40.787610,-73.972914,15,Fair,15.3,3.50
40.780022,-73.978826,18,Dead,15.4,2.58
40.776700,-73.954898,12,Good,11.5,1.09
40.788120,-73.954053,1,Dead,21.1,2.51
40.793154,-73.949711,8,Good,5.5,0.34
40.777727,-73.953650,16,Good,11.7,2.81
40.790811,-73.951427,3,Poor,5.0,0.84
40.784744,-73.950253,15,Fair,12.6,2.08
40.786970,-73.949646,5,Dead,5.5,0.25
40.778605,-73.979652,13,Fair,16.0,0.70
40.788154,-73.952529,9,Fair,8.2,0.84
40.793297,-73.951726,15,Dead,12.7,1.56
40.775901,-73.949336,14,Dead,12.9,5.43
40.773710,-73.949772,16,Dead,10.3,4.08
40.790211,-73.950110,5,Fair,6.2,0.99
40.784198,-73.979491,4,Fair,6.1,7.64
40.791882,-73.950877,16,Good,10.3,1.66
40.775916,-73.957228,18,Good,16.3,2.74
40.789631,-73.950532,6,Good,5.1,0.70
40.788086,-73.952368,9,Fair,9.9,1.30
40.772740,-73.959551,10,Dead,10.6,1.29
40.788961,-73.952038,4,Good,14.0,14.77
40.771579,-73.954861,13,Fair,12.8,3.95
40.775265,-73.949508,10,Fair,9.9,1.75
40.775106,-73.949424,13,Good,13.4,0.92
40.790779,-73.950582,4,Fair,15.3,8.25
40.781029,-73.977518,0,Dead,13.0,1.87
40.789466,-73.949725,15,Fair,10.5,2.70
40.786690,-73.979598,16,Unknown,10.3,2.16
40.792193,-73.950038,6,Good,9.5,4.45
40.778873,-73.980290,10,Good,28.4,2.00
40.788307,-73.972621,12,Unknown,12.7,3.01
40.788721,-73.951469,6,Good,4.2,1.41
40.775769,-73.963083,17,Good,13.0,1.19
40.787612,-73.949223,5,Fair,5.9,0.21
40.790405,-73.977571,8,Good,4.7,6.51
40.783628,-73.975540,11,Fair,15.5,3.23
40.792235,-73.950138,7,Good,12.0,9.87
40.790295,-73.950048,4,Dead,18.3,6.53
40.787951,-73.952047,10,Fair,9.9,0.66
40.780631,-73.978556,11,Dead,11.2,1.84
40.791714,-73.972200,15,Dead,11.0,0.27
40.787041,-73.949814,4,Fair,3.3,0.54
40.771645,-73.956420,12,Dead,27.2,2.11
40.785533,-73.952386,0,Dead,11.9,1.66
40.775986,-73.957397,18,Good,16.2,1.95
40.784188,-73.976584,12,Fair,6.6,3.19
40.793383,-73.951662,9,Good,7.6,0.68
40.766147,-73.958220,17,Fair,16.8,1.49
40.793089,-73.949759,4,Dead,5.7,1.56
40.789339,-73.950743,5,Good,17.9,3.60
40.788434,-73.972890,19,Good,15.3,1.47
40.774008,-73.978552,18,Poor,16.1,1.15
40.775211,-73.949380,8,Poor,5.7,6.50
40.789252,-73.949219,4,Dead,14.2,10.91
40.779856,-73.952286,9,Fair,6.6,2.59
40.788677,-73.951364,7,Good,6.4,0.44
40.779216,-73.975187,18,Unknown,16.3,1.90
40.779620,-73.976147,12,Unknown,12.8,0.45
40.782868,-73.979667,14,Unknown,13.0,0.99
40.789060,-73.952275,4,Poor,10.6,5.86
40.791980,-73.950807,13,Good,9.7,3.23
